Delivery_Service,Delivery_Time_Min
Service_P,28
Service_P,30
Service_P,32
Service_P,29
Service_P,31
Service_P,30
Service_Q,22
Service_Q,24
Service_Q,23
Service_Q,25
Service_Q,22
Service_Q,26
Service_R,35
Service_R,33
Service_R,36
Service_R,34
Service_R,32
Service_R,36
S019,Active_Learning
S020,Active_Learning
S021,Active_Learning
S022,Active_Learning
S023,Active_Learning
S024,Active_Learning
S025,Online
S026,Online
S027,Online
S028,Online
S029,Online
S030,Online
S031,Online
S032,Online
S033,Online
S034,Online
S035,Online
S036,Online
